location_term,region_code,Level
jawa tengah,jawatengah,Provinsi
jateng,jawatengah,Provinsi
jawatengah,jawatengah,Provinsi
jawa,jawatengah,Provinsi
diy,diy,Provinsi
yogyakarta,diy,Provinsi
jogja,diy,Provinsi
jogjakarta,diy,Provinsi
semarang,semarang,Kabupaten/Kota
kab semarang,kabsemarang,Kabupaten/Kota
banyumas,banyumas,Kabupaten/Kota
baturaden,banyumas,Kabupaten/Kota
gunungkidul,gunungkidul,Kabupaten/Kota
gunung kidul,gunungkidul,Kabupaten/Kota
gunkid,gunungkidul,Kabupaten/Kota
bantul,bantul,Kabupaten/Kota
sleman,sleman,Kabupaten/Kota
kendal,kendal,Kabupaten/Kota
ungaran,ungaran,Kabupaten/Kota
karanganyar,karanganyar,Kabupaten/Kota
karang anyar,karanganyar,Kabupaten/Kota
banjarnegara,banjarnegara,Kabupaten/Kota
banjar,banjarnegara,Kabupaten/Kota
jepara,jepara,Kabupaten/Kota