intent_phrase,intent_code
tempat kemah terbaik,RATING_TOP
paling bagus,RATING_TOP
paling recommended,RATING_TOP
rating tertinggi,RATING_TOP
tempat kemah terburuk,RATING_BOTTOM
paling jelek,RATING_BOTTOM
rating terendah,RATING_BOTTOM
semua tempat kemah,ALL
tampilkan semua,ALL
berikan semua,ALL
tidak direkomendasikan,RATING_BOTTOM
tempat kemah jelek,RATING_BOTTOM
tidakrekomen,RATING_BOTTOM
tidakbagus,RATING_BOTTOM
kurangbagus,RATING_BOTTOM
tidakbersih,RATING_BOTTOM
tidakramah,RATING_BOTTOM
jangankesini,RATING_BOTTOM